Prince Charlie-1914	Prince Charlie	1914	USA	8 November 1914	
Prince Charming-1912	Prince Charming	1912	USA	15 May 1912	
Prince Charming-1912	Prince Charming	1912	UK	7 December 1912	
Prince Charming-1956	Prince Charming	1956	Philippines	1956	
Prince Charming-2003	Prince Charming	2003	Sweden	30 March 2004	DVD premiere
Prince Cinders-1993	Prince Cinders	1993	UK	27 December 1993	TV premiere
Prince Edward Island in Motion; Home of the Silver Black Fox Industry-1914	Prince Edward Island in Motion; Home of the Silver Black Fox Industry	1914	USA	February 1914	
Prince Gabby-1929	Prince Gabby	1929	USA	15 September 1929	
Prince Harry in Africa-2016	Prince Harry in Africa	2016	UK	19 December 2016	
Prince Henry-1902/I	Prince Henry	1902/I	USA	March 1902	
Prince Henry-1902/II	Prince Henry	1902/II	USA	March 1902	
Prince Henry-1902/III	Prince Henry	1902/III	USA	March 1902	
